id,name,start_event,stop_event,highest_score
1,Overall,1,38,417.0
2,August,1,3,272.0
3,September,4,6,205.0
4,October,7,9,
5,November,10,13,
6,December,14,19,
7,January,20,24,
8,February,25,28,
9,March,29,31,
10,April,32,34,
11,May,35,38,
